year,type,sentence1,sentence2,similarity_score
2016,answer-answer,"I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours. ","I remained under the banyan tree, exhausted by my daily ritual of herding the cats every two hours. ",3
2016,answer-answer,"In the US, it will depend on the school.",It really depends on the school and the program.,3
2016,answer-answer,There's also what the string is made of.,There is also a Youtube-Version of the film.,0
2016,answer-answer,You also imply you may not be paid if they cannot place you with a client.,"You can do it, but you might not be a professor.",0
2016,answer-answer,I did this one time as well.,I have this habit as well.,2
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.","You may want it, but the process given to you is what you have to work within.",0
2016,answer-answer,You do not need to worry.,You don't have to worry.,5
2016,answer-answer,You should do it.,You should do what it says.,3
2016,answer-answer,You should just ask your boss what he wants you to do.,"You should listen to your boss, because you're not paid to tell the boss what to do.",2
2016,answer-answer,You need to read a lot to know what you like and what you don't.,"You have to decide how much you want to demand, and what unmet demands you can live with.",0
2016,answer-answer,It depends on what you want to have in your tank.,i think it depends what you want:,2
2016,answer-answer,"You can do it, too.","Yes, you can do it.",5
2016,answer-answer,You should do it.,"You can do it, too.",1
2016,answer-answer,You have to decide what you want to get out of this.,You have to know what you want to do.,4
2016,answer-answer,I have few suggestions for you:,I have two suggestions for you:,4
2016,answer-answer,You want to start in the room that is the largest to make sure you have the straightest start.,"You will have to start with the clinic., and maybe move on to the insurance company.",1
2016,answer-answer,"if you don't want to derail the meeting, but the key is to speak up.",The key thing you need to do in this meeting is listen.,1
2016,answer-answer,Unfortunately the answer to your question is we simply do not know.,"My answer to your question is ""Probably Not"".",1
2016,answer-answer,As soon as possible.,Start them as early as possible.,4
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.","It depends on what you want to do next, and where you want to do it.",1
2016,answer-answer,The answer to both questions is: Yes.,The answer to both of your questions is yes.,5
2016,answer-answer,To give this an answer:,I'll answer this question:,4
2016,answer-answer,Unfortunately the answer to your question is we simply do not know.,"Sorry, I don't know the answer to your question.",4
2016,answer-answer,The rule - When in doubt throw it out!,"I always go by the rule ""When in doubt, throw it out!",4
2016,answer-answer,This is not a good idea.,This sound like a very bad idea.,4
2016,answer-answer,"Yes, it's probably a good idea to renew your passport.",It's a good idea.,3
2016,answer-answer,It probably depends on the cut of meat.,It depends on the meat and how it's cut.,4
2016,answer-answer,It's not a good idea.,It's a good question.,0
2016,answer-answer,It's pretty much up to you.,It's much better to ask.,0
2016,answer-answer,"Yes, there is a reason for it.","Yes, that is exactly what it means.",1
2016,answer-answer,Have you tried asking your employees?,Have you tried asking?,4
2016,answer-answer,You guys are making this all WAAAAAY too complicated.,You are making this too complicated.,5
2016,answer-answer,You don't have to know.,You have no need to do anything.,2
2016,answer-answer,There are two things to consider:,There are two possible causes for this:,4
2016,answer-answer,Work into it slowly.,It seems to work.,0
2016,answer-answer,You can buy it on amazon for $5.,You can buy it on ebay for $25 and up.,2
2016,answer-answer,"The coffee simply picks up the aluminum from the pot, as the coffee is acidic.",One idea is cleaning the coffee residue from the coffee pot.,1
2016,answer-answer,There are two ways to start with: plunging and dripping.,There are two traditional ways to bend wood:,0
2016,answer-answer,You might have to try a variety before you find one that clicks with him.,My advice would be to try a variety of coffees that you can afford and find one you like.,2
2016,answer-answer,It's not a good idea.,It is not a good idea.,5
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.","They can, but the way to do it depends on what you have available.",1
2016,answer-answer,"Yes, you should mention your experience.","Yes, you should mention it.",3
2016,answer-answer,From what I understand this is what you can do :,Can you do this?,2
2016,answer-answer,Take a look at these:,Take a look at this: ,5
2016,answer-answer,I'd say it primarily depends on two things:,I'd say it depends on the ultimate outcome you want?,2
