year,type,sentence1,sentence2,similarity_score
2012,SMTeuroparl,"If we define a clear, binding framework for the Member States, then there should be a longer evaluation period for the various support systems required to satisfy these requirements.","If we create a clear framework and binding on the Member States, the various systems to meet these requirements should have a longer period test.",4.8
2015,images,a snowboarder jumps into the air.,A snowboarder flies through the air.,4
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.",It is his job to see that you have what you need to do your job.,0
2016,postediting,"""People were always happy to see Zora"" he said.","""I am so happy,"" he said to reporters.",0
2012,surprise.OnWN,"Sound sharply or shrilly, as if stabbing.",sound sharply or shrilly.,4
2012,MSRvid,A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,4.8
2015,images,A black dog is running in the grass.,A boy running through green grass.,1
2012,surprise.SMTnews,"But from the American point of view, the international role of the dollar was a trap.",But from the point of view of the international role was a trap.  ,3.75
2015,belief,"how demeaning,, how not to be dignified..",warning - some info might be tmi.,
2012,SMTeuroparl,"The very worst situation is when the women concerned also come from distant countries, having taken the work on out of desperation because they have no other way of continuing to provide for themselves.",The things worsen when it is question of women of distant countries who accepted this work by need and who do not have any other possibility to continue to provide for their vital needs.,4
2015,headlines,US Home Sales Plunged 5.1 Percent in January,US existing-home sales dip in February,
2015,headlines,Russian lawmakers pass new bill restricting Internet,Russia says ballistic 'objects' fired in Mediterranean,0.4
2015,images,The white and brown dog runs across the grass.,Three dogs are running on the grass.,3.2
2015,answers-forums,There is nothing special about borders of former Russian Empire when considering Soviet expansion.,What I think happened here is a case of gradual exaggeration.,
2015,answers-forums,The black dog is a portent of death in many English folk tales.,"I believe Starship Troopers had FTL, but I am unclear as to how it works.",
2014,tweet-news,"You should read this: The Lifting of a Veil, Discreetly",The TV Watch: Jodie Foster Lifts a Veil at Golden Globes,4
2012,MSRvid,A woman is using a sewing machine.,A woman is sewing on a machine.,5
2012,MSRvid,A man puts seasoning in a bowl of water.,The man added seasoning to water in a bowl.,5
2012,SMTeuroparl,We often pontificate here about being the representatives of the citizens of Europe.,We often take pride here to represent the citizens of Europe.,3.833
2013,headlines,Presidential vote polarises Egyptians,GOP presidential hopefuls clash in Southern races,0.8
2012,surprise.SMTnews,The answer lies in the support that Indonesian pro-democracy activists can generate domestically and internationally.,The answer lies in the support that the Indonesian democrats will generate activists domestically and internationally.,4.6
2015,answers-students,because bulb c was contained in an open path with the battery,There was no longer a closed path containing Bulb C and the battery,
2015,belief,"it appears that, though you claim to value education - we must have very different understandings of what the word 'education' means also.",the arab league did not understand that a no fly zone can have different meanings if worded appropriately.,
2015,headlines,Pit Bull Dog Kills Baby Girl In Blackburn,Dog Mauls Baby Girl To Death In Blackburn,
2013,headlines,Washington's Acts of Congress sells for $9.8M,George Washington's copy of US Constitution sells for $9.8m,2.6
2015,belief,they are sitting on over a trillion dollars in cash.,"they broke into their families homes, as well.",
2012,MSRvid,A man is slicing open a fish.,A man is cutting up a fish.,4.4
2015,answers-forums,My opinion is to wait for the child to ask for it.,"I really wanted my ears pierced, but my parents said I had to wait until I was 10 years old.",
2015,headlines,Police fire teargas on Venezuelan vote protesters,Chavez heir Maduro wins Venezuela's presidency,0.6
2012,surprise.SMTnews,Each side had quite different theories and explanations of what was going on.,Every leader had theories and markedly different explanations regarding the situation.,4.75
2015,headlines,Singapore stocks close 0.5 pct higher,Taiwan stocks close 0.34 pct lower,
2012,surprise.SMTnews,Being a Muslim and being an Islamist are not the same thing.,Etre Muslim and be Islamic are two different things.,4
2015,belief,"i know i'm just a mere human, i have no right to question a corporation.",what many fail to realize is that exiling arafat might not be an option.,
2012,MSRvid,A man does floor exercises.,A man is exercising.,3.6
2015,answers-forums,"In English, certainly the most common use of do is Do-Support.","In traditional grammar, the word doing is a participle in all your examples.",0.6
2015,answers-students,bulb b and c are on a closed path to the battery,"If bulb A burns out, bulbs B and C are still in a closed path",2.8
2015,answers-students,bulbs a and b are still contained in closed paths with the battery.,If C burns out then A and B are still in a closed path with the battery,
2012,MSRpar,"On Saturday, the International Committee of the Red Cross said it was temporarily closing its offices in Baghdad and Basra.","The International Committee of the Red Cross, fearful for the safety of its staff operating in Iraq, announced it was temporarily shutting its offices in Baghdad and Basra.",3.4
2015,headlines,66 missing after boat sinks off Malaysia,61 people missing after boat sinks off Western Malaysia,
2016,postediting,Other operators would also refer to the nature of the Czech market.,None of the Czech operators did of a dominant position on such a market.,1
2015,answers-students,if it is in the closed path with the battery,When the switch and the bulb are contained in the same path,
2014,OnWN,"the act of moving, turning something",the act of removing or getting rid of something.,0.4
2014,OnWN,the act of substituting one thing for another,the act of contacting one thing with another.,0.8
2015,belief,"and they insisted on ""right to work"" laws that busted up the unions.",i have my own business but work as all but dried up...to,0.83
2015,images,A brown dog is running on a rock.,A brown dog running.,
2015,headlines,Brazilians throng streets to greet pope,"In Brazil, thousands turn out to greet Pope Francis",
2015,answers-students,If the switch is contained in the same path with the Bulb,When the switch and the bulb are contained in the same path,4.4
2012,MSRpar,"Sayliyah was the command base for the Iraq war, but Central Command sent hundreds who ran the war back home to Tampa, Florida.","As Sayliyah was the command base for the Iraq war, but hundreds who ran the war have returned to the United States.",3.4
2014,deft-forum,It depends how you define extreme.,"Depends on how you define ""extreme"".",5
2015,headlines,Six US soldiers killed in aircraft crash in Afghanistan,Six U.S. soldiers killed in helicopter crash in Afghanistan,
2015,belief,"quote: i wish you all the luck in the world hun, i just hope your thread doesn't get nasty like so many others i've read on here xx.",she has said that the club has helped her with the grieving as she has so many friends there.,
2015,headlines,Lebanon Clashes Rage Overnight, 12 Soldiers Dead,Lebanon clashes rage near mosque
